date,operation,amount,account,category,subcategory,note
"2018-01-02","expense",-30,"N26","Food","Groceries","Weekly groceries"
"2018-03-22","income",240,"C24","Other Income","Gifts","Special occasion gift"
"2018-04-05","income",500,"Postepay","Investment Income","Dividends","Stock dividends"
"2018-05-09","income",160,"C24","Salary/Wages","Primary Job","Monthly salary"
"2018-05-10","income",180,"Postepay","Investment Income","Capital Gains","Stock sale"
"2018-06-15","income",440,"C24","Salary/Wages","Primary Job","Monthly salary"
"2018-06-28","income",600,"Postepay","Salary/Wages","Primary Job","Monthly salary"
"2018-07-03","expense",-60,"N26","Health","Gym Memberships","Gym subscription"
"2018-07-15","income",150,"Postepay","Investment Income","Dividends","Stock dividends"
"2018-07-22","expense",-50,"N26","Entertainment","Movies/Streaming Services","Movie night"
"2018-08-11","income",160,"Postepay","Investment Income","Dividends","Stock dividends"
"2018-09-30","expense",-220,"Wallet","Health","Medications","Prescription medications"
"2018-10-09","expense",-70,"N26","Transportation","Fuel","Car fuel"
"2018-10-28","expense",-180,"Wallet","Entertainment","Hobbies","Art supplies"
"2018-11-10","expense",-120,"Wallet","Transportation","Public Transportation","Monthly pass"
"2018-11-10","expense",-180,"N26","Entertainment","Movies/Streaming Services","Movie night"
"2018-12-05","income",240,"Postepay","Other Income","Gifts","Birthday gift"
"2018-12-19","expense",-90,"N26","Personal Care","Haircuts","Haircut appointment"
"2019-01-12","expense",-40,"N26","Food","Dining Out","Fast food lunch"
"2019-01-14","expense",-40,"Wallet","Food","Dining Out","Fast food lunch"
"2019-01-15","expense",-40,"N26","Health","Doctor Visits","Health checkup"
"2019-02-20","income",300,"C24","Investment Income","Dividends","Stock dividends"
"2019-02-28","expense",-600,"Wallet","Education","Books/Supplies","Textbooks purchase"
"2019-03-05","expense",-240,"Wallet","Health","Doctor Visits","Health checkup"
"2019-03-22","expense",-360,"Wallet","Health","Medications","Prescription medications"
"2019-04-13","expense",-360,"N26","Transportation","Public Transportation","Monthly pass"
"2019-04-18","income",120,"C24","Other Income","Gifts","Special occasion gift"
"2019-05-03","income",900,"Postepay","Investment Income","Dividends","Stock dividends"
"2019-06-04","expense",-40,"N26","Health","Doctor Visits","Health checkup"
"2019-06-08","income",100,"C24","Salary/Wages","Primary Job","Monthly salary"
"2019-07-29","income",400,"Postepay","Investment Income","Capital Gains","Stock sale"
"2019-08-23","income",400,"C24","Other Income","Gifts","Birthday gift"
"2019-09-03","income",400,"C24","Salary/Wages","Primary Job","Monthly salary"
"2019-09-18","expense",-120,"N26","Transportation","Fuel","Car fuel"
"2019-09-30","expense",-200,"N26","Debt Payments","Credit Card Payments","Credit card bill"
"2019-10-20","income",240,"Postepay","Investment Income","Dividends","Stock dividends"
"2019-11-25","income",160,"C24","Salary/Wages","Secondary Job/Part-Time Work","Part-time job payment"
"2019-12-05","income",200,"Postepay","Other Income","Gifts","Holiday bonus"
